,Topic,ID,FunctionValue,Label
290,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{'poiType': ['POICATEGORY_CHARGINGSTATIONHPC'], 'uri': 'rudi:/navi$/locations/849e3f0b-45fb-4ea2-85bd-8c60c5946f7f', 'id': '849e3f0b-45fb-4ea2-85bd-8c60c5946f7f', 'providerId': 'Porsche', 'countryAbbreviation': 'I', 'street': 'A4 Torino - Trieste', 'name': '', 'poiId': '2e07b43a-0621-44ff-9e14-52bcd9d76b66', 'city': 'Caponago', 'coordinates': {'latitude': 543719562.0, 'latitudeDegree': 45.574047, 'longitude': 112066545.0, 'longitudeDegree': 9.3933}}",navi/Start/Address
275,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""countryAbbreviation"":""D"",""street"":""Ohmstraße 5"",""city"":""Herrenberg"",""zipCode"":""71083"",""poiName"":""Shell Recharge Shell OhmstraÃe (360kW)"",""country"":""Deutschland"",""poiCategoryName"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiCategory"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiNameCategory"":""Shell Recharge Shell OhmstraÃe (360kW) (<span class=\""text-highlight\"">Schnellladen</span>)}}",navi/Start/Address
271,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""street"":""Ohmstraße"",""housenumber"":""5"",""city"":""Herrenberg"",""zipCode"":""71083"",""cityPart"":""Gültstein"",""poiName"":""Shell Recharge Shell OhmstraÃe (360kW)"",""country"":""Deutschland"",""poiCategoryName"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiCategory"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiNameCategory"":""Shell Recharge Shell OhmstraÃe (360kW) (<span class=\""text-highlight\"">Schnellladen</span>)}}",navi/Start/Address
269,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""countryAbbreviation"":""D"",""street"":""Rasthof Schönbuch-West 5"",""city"":""Nufringen"",""zipCode"":""71154"",""poiName"":""EnBW A81 Autobahnraststätte Schönbuch West 2 (150kW)"",""country"":""Deutschland"",""poiCategoryName"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiCategory"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiNameCategory"":""EnBW A81 Autobahnraststätte Schönbuch West 2 (150kW) (<span class=\""text-highlight\"">Schnellladen</span>)}}",navi/Start/Address
265,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{'poiType': ['POICATEGORY_CHARGINGSTATION'], 'uri': 'rudi:/navi$/locations/7ed7b2ff-d93c-4131-b461-39173baa2930', 'id': '7ed7b2ff-d93c-4131-b461-39173baa2930', 'providerId': 'Porsche', 'countryAbbreviation': 'D', 'street': 'Rasthof Neckarburg-West', 'name': '', 'poiId': 'a8cc5929-f894-437e-82cc-48ae2963e351', 'city': 'Dietingen', 'coordinates': {'latitude': 575118996.0, 'latitudeDegree': 48.205917, 'longitude': 102853017.0, 'longitudeDegree': 8.621}}",navi/Start/Address
1928,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""Rheinland-Pfalz"",""countryAbbreviation"":""D"",""street"":""<span class=\""text-highlight\"">Willy&#8205;</span>-<span class=\""text-highlight\"">&#8205;Brandt&#8205;</span>-<span class=\""text-highlight\"">&#8205;Allee</span>"",""housenumber"":""<span class=\""text-highlight\"">2</span>"",""city"":""<span class=\""text-highlight\"">Bingen</span> am Rhein"",""zipCode"":""55411"",""country"":""Deutschland}}",navi/Start/Address
262,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""countryAbbreviation"":""D"",""street"":""Rasthof Neckarburg-West"",""city"":""Dietingen"",""zipCode"":""78661"",""poiName"":""IONITY A81 Raststätte Neckarburg West (350kW)"",""country"":""Deutschland"",""poiCategoryName"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiCategory"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiNameCategory"":""IONITY A81 Raststätte Neckarburg West (350kW) (<span class=\""text-highlight\"">Schnellladen</span>)}}",navi/Start/Address
1964,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""Rheinland-Pfalz"",""countryAbbreviation"":""D"",""street"":""Zufahrt Nordschleife"",""city"":""Meuspath"",""zipCode"":""53520"",""poiName"":""<span class=\""text-highlight\"">Devil's</span> Diner"",""country"":""Deutschland"",""poiCategoryName"":""Amerikanisch"",""poiCategory"":""Amerikanisch"",""poiNameCategory"":""<span class=\""text-highlight\"">Devil's</span> Diner (Amerikanisch)}}",navi/Start/Address
250,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""countryAbbreviation"":""CH"",""street"":""A2 A2"",""city"":""Erstfeld"",""zipCode"":""6472"",""poiName"":""MOVE IONITY A2 Gotthardraststätte Ost (350kW)"",""country"":""Schweiz"",""poiCategoryName"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiCategory"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiNameCategory"":""MOVE IONITY A2 Gotthardraststätte Ost (350kW) (<span class=\""text-highlight\"">Schnellladen</span>)}}",navi/Start/Address
202,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""countryAbbreviation"":""D"",""street"":""Pforzheimer Str."",""housenumber"":""150"",""city"":""Rutesheim"",""zipCode"":""71277"",""poiName"":""EnBW Pforzheimer Straße P+M Parkplatz (300kW)"",""poiCategoryName"":""HPC Laden"",""poiCategory"":""HPC Laden"",""poiNameCategory"":""EnBW Pforzheimer Straße P+M Parkplatz (300kW) (HPC Laden)}}",navi/Start/Address
175,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"Berntorstrasse 2, Solothurn",navi/Start/Address
346,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"Bärenweg 26, Karlsruhe",navi/Start/Address
173,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""Solothurn"",""countryAbbreviation"":""CH"",""street"":""Berntorstrasse"",""housenumber"":""2"",""city"":""Solothurn"",""zipCode"":""4500"",""poiName"":""<span class=\""text-highlight\"">Hotel</span> <span class=\""text-highlight\"">an</span> <span class=\""text-highlight\"">der</span> <span class=\""text-highlight\"">Aare</span>"",""country"":""Schweiz"",""poiCategoryName"":""<span class=\""text-highlight\"">Hotel</span>"",""poiCategory"":""<span class=\""text-highlight\"">Hotel</span>"",""poiNameCategory"":""<span class=\""text-highlight\"">Hotel</span> <span class=\""text-highlight\"">an</span> <span class=\""text-highlight\"">der</span> <span class=\""text-highlight\"">Aare</span> (<span class=\""text-highlight\"">Hotel</span>)}}",navi/Start/Address
171,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{'poiType': [], 'uri': 'rudi:/navi$/locations/cc787b72-fa51-458f-ac4a-0fc1d88945e6', 'state': 'Solothurn', 'id': 'cc787b72-fa51-458f-ac4a-0fc1d88945e6', 'countryAbbreviation': 'CH', 'stateAbbreviation': 'SO', 'name': '', 'city': 'Solothurn', 'coordinates': {'latitude': 563243647.0, 'latitudeDegree': 47.210537, 'longitude': 89918952.0, 'longitudeDegree': 7.536919}}",navi/Start/Address
1968,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""Rheinland-Pfalz"",""countryAbbreviation"":""D"",""city"":""<span class=\""text-highlight\"">Welche&#8205;</span>rath"",""zipCode"":""53539"",""country"":""Deutschland}}",navi/Start/Address
121,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"Fritz-Walter-Weg 19, Stuttgart",navi/Start/Address
113,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"Adelheidweg 1, Leinfelden-Echterdingen",navi/Start/Address
91,pnc/interactionData/interactionEvent,/navi/onDestinationSelect,"{""state"":""Lombardei"",""countryAbbreviation"":""I"",""street"":""Via Vittorio Veneto"",""housenumber"":""1"",""city"":""Bonate Sotto"",""zipCode"":""24040"",""poiName"":""Bcc di Pompiano e di <span class=\""text-highlight\"">Franciacorta</span>"",""country"":""Italien"",""poiCategoryName"":""Bank"",""poiCategory"":""Bank"",""poiNameCategory"":""Bcc di Pompiano e di <span class=\""text-highlight\"">Franciacorta</span> (Bank)}}",navi/Start/Address
