;label;id;fnvalue
26;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""street"":""Stockfeld"",""housenumber"":""2"",""city"":""Mahlberg"",""zipCode"":""77972"",""poiName"":""<span class=\""text-highlight\"">ION&#8205</span>ITY <span class=\""""text-highlight\"""">A5</span> Mahlberg Ost (350kW)"""",""""country"""":""""Deutschland"""",""""poiCategoryName"""":""""<span class=\""""text-highlight\"""">Schnellladen</span>"""",""""poiCategory"""":""""<span class=\""""text-highlight\"""">Schnellladen</span>"""",""""poiNameCategory"""":""""<span class=\""""text-highlight\"""">ION&#8205</span>ITY <span class=\""""text-highlight\"""">A5</span> Mahlberg Ost (350kW) (<span class=\""""text-highlight\"""">Schnellladen</span>)}}"""
27;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Baden-Württemberg"",""countryAbbreviation"":""D"",""street"":""Lustgartenstraße"",""housenumber"":""5"",""city"":""Weil am Rhein"",""zipCode"":""79576"",""poiName"":""EnBW A5 Deutscher Rasthof Weil am Rhein 1 (100kW)"",""poiCategoryName"":""HPC Laden"",""poiCategory"":""HPC Laden"",""poiNameCategory"":""EnBW A5 Deutscher Rasthof Weil am Rhein 1 (100kW) (HPC Laden)}}"
28;navi/Start/Address';/navi/onDestinationSelect';"{""countryAbbreviation"":""D"",""street"":""BAB 5"",""city"":""Freiburg im Breisgau"",""zipCode"":""79108"",""poiName"":""E.ON A5 Raststätte Schauinsland West (50kW)"",""country"":""Deutschland"",""poiCategoryName"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiCategory"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiNameCategory"":""E.ON A5 Raststätte Schauinsland West (50kW) (<span class=\""text-highlight\"">Schnellladen</span>)}}"
29;navi/Start/Address';/navi/onDestinationSelect';"{""countryAbbreviation"":""D"",""street"":""BAB 5"",""city"":""Schallstadt"",""zipCode"":""79227"",""poiName"":""E.ON A5 Autobahnraststätte Breisgau Ost (50kW)"",""country"":""Deutschland"",""poiCategoryName"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiCategory"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiNameCategory"":""E.ON A5 Autobahnraststätte Breisgau Ost (50kW) (<span class=\""text-highlight\"">Schnellladen</span>)}}"
30;navi/Start/Address';/navi/onDestinationSelect';"{""countryAbbreviation"":""D"",""street"":""K4998 1"",""city"":""Hartheim am Rhein"",""zipCode"":""79258"",""poiName"":""E.ON Autohof Bremgarten UFC 1 (175kW)"",""country"":""Deutschland"",""poiCategoryName"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiCategory"":""<span class=\""text-highlight\"">Schnellladen</span>"",""poiNameCategory"":""E.ON Autohof Bremgarten UFC 1 (175kW) (<span class=\""text-highlight\"">Schnellladen</span>)}}"
31;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""street"":""Epplestraße"",""housenumber"":""23"",""city"":""Stuttgart"",""zipCode"":""70597"",""poiName"":""<span class=\""text-highlight\"">Sport</span> Katzmaier GmbH <span class=\""text-highlight\"">Sport&#8205</span>artikel"""",""""country"""":""""Deutschland}}"""
34;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""Splitsko-dalmatinska županija"",""countryAbbreviation"":""HR"",""street"":""Vukovarska ul."",""housenumber"":""9"",""city"":""Trogir"",""zipCode"":""21220"",""poiName"":""<span class=\""text-highlight\"">Piccolo</span> <span class=\""text-highlight\"">Ponte</span>"",""country"":""Kroatien}}"
35;navi/Start/Address';/navi/onDestinationSelect';Vukovarska ul. 9, Trogir
37;navi/Start/Address';/navi/onDestinationSelect';"{""state"":""BW"",""countryAbbreviation"":""D"",""city"":""Bad Teinach-Zavelstein"",""zipCode"":""75385"",""poiName"":""Lautenbachhof - Udo Sarholz"",""country"":""Deutschland}}"
38;navi/Start/Address';/navi/onDestinationSelect';{'poiType': [], 'uri': 'rudi:/navi$/locations/0c762fff-ac47-4749-bc20-20d2d067540c', 'state': 'Baden-Württemberg', 'id': '0c762fff-ac47-4749-bc20-20d2d067540c', 'countryAbbreviation': 'D', 'street': 'Im Steinbergle', 'stateAbbreviation': 'BW', 'name': '', 'city': 'Leonberg', 'coordinates': {'latitude': 582244573.0, 'latitudeDegree': 48.803177, 'longitude': 107722040.0, 'longitudeDegree': 9.02915}}
